shop_name,address,mean_price,review_num,takeaway,longitude,latitude
幸福侯彩擂(财富中心店),东三九中春7号财富购物中心B1层-1-02-2号,20,215,True,116.46553446418267,39.923361031626904
CoCo都可(华彩店),广顺北大街16号院3号楼望京华彩商业中心1层A158铺,14,444,True,116.4754999960187,40.016500819867154
1点点(西二旗店),上玉十街辉煌式些广场1号楼1层东入口,16,149,True,116.31690478704596,39.9409259877719
快乐柠檬(永旺店),北清春1号永旺式些商城购物中心1层,16,560,True,116.29844658508803,39.824182871351745
奈雪の茶(长安商场店),复兴门阳大街15号长安商场一层CA-108号,32,148,True,116.35382972486414,39.917586338414196
快乐柠檬(新城广场店),芳群春芳古园一区18号楼新城广场B1-7层,16,174,True,116.42841378559385,39.87409800561284
CoCo都可(李老新村店),通朝大街354号李老省区商业中心1层底商,15,263,True,116.6448085025035,39.89827145395278
本宫的茶(华威店),西单北大街130号3层,21,306,True,116.38081226490809,39.917555239859205
快乐柠檬(合生汇店),西大望春21号合生汇L6-08,15,421,True,116.48677992847693,39.89988374376589
CoCo都可(合生汇二店),西大望春甲22号合生汇商场6层06号,16,485,True,116.48677992847693,39.89988374376589
